date,Conflict,Disaster,Fund,Political
20130624,0.0,1.0,0.0,0.0
20130718,2.0,0.0,0.0,0.0
20130724,1.0,0.0,0.0,0.0
20130731,2.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0
20131025,0.0,0.0,0.0,1.0
20140514,1.0,0.0,0.0,0.0
20140516,0.0,1.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0
20140714,3.0,0.0,0.0,0.0
20140801,0.0,1.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0
20140923,1.0,0.0,0.0,0.0
20141015,1.0,0.0,0.0,0.0
20141127,2.0,0.0,0.0,0.0
20141201,0.0,0.0,1.0,0.0
20141211,1.0,0.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0
