date,Conflict,Disaster,Political
20130919,1.0,0.0,1.0
20130920,0.0,1.0,0.0
20130924,1.0,0.0,0.0
20130927,1.0,0.0,0.0
20131011,1.0,1.0,0.0
20131018,0.0,1.0,0.0
20131104,1.0,0.0,0.0
20131106,2.0,1.0,0.0
20131107,1.0,0.0,0.0
20131111,1.0,0.0,0.0
20131112,0.0,1.0,0.0
20131119,1.0,0.0,0.0
20131121,1.0,0.0,0.0
20131122,1.0,0.0,0.0
20131129,0.0,1.0,0.0
20131218,1.0,0.0,0.0
20140617,1.0,0.0,0.0
20140619,1.0,0.0,0.0
20140620,1.0,0.0,0.0
20140714,1.0,0.0,0.0
20140716,1.0,0.0,0.0
20140721,1.0,0.0,0.0
20140812,1.0,0.0,0.0
20141016,0.0,1.0,0.0
20141027,1.0,0.0,0.0
20141125,0.0,1.0,0.0
