date,Conflict,Disaster,Political/Social Unrest,Water Insecurity
20130625,1.0,0.0,0.0,0.0
20130626,0.0,1.0,0.0,0.0
20130627,2.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0
20130717,1.0,1.0,0.0,0.0
20130724,0.0,1.0,0.0,0.0
20130729,1.0,0.0,3.0,0.0
20130730,1.0,0.0,0.0,0.0
20130731,3.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0
20130809,0.0,0.0,1.0,0.0
20130814,0.0,1.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0
20130912,0.0,0.0,1.0,0.0
20130919,1.0,0.0,0.0,0.0
20130930,0.0,1.0,0.0,0.0
20131004,1.0,1.0,0.0,0.0
20131010,1.0,0.0,1.0,0.0
20131011,1.0,0.0,0.0,0.0
20131014,0.0,1.0,0.0,0.0
20131018,1.0,0.0,0.0,0.0
20131023,1.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0
20131025,1.0,0.0,0.0,0.0
20131030,1.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0
20131104,2.0,0.0,0.0,0.0
20131105,1.0,0.0,1.0,0.0
20131106,0.0,1.0,0.0,0.0
20131107,0.0,1.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0
20131111,2.0,0.0,0.0,0.0
20131118,0.0,1.0,0.0,0.0
20131119,2.0,0.0,0.0,0.0
20131121,1.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0
20131129,2.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0
20131204,1.0,0.0,0.0,0.0
20131205,1.0,1.0,0.0,0.0
20131230,0.0,0.0,1.0,0.0
20140516,1.0,0.0,0.0,0.0
20140519,2.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0
20140522,2.0,0.0,1.0,0.0
20140523,2.0,0.0,0.0,0.0
20140605,3.0,0.0,1.0,0.0
20140606,1.0,0.0,1.0,0.0
20140616,1.0,0.0,0.0,0.0
20140617,1.0,0.0,0.0,0.0
20140624,1.0,0.0,0.0,0.0
20140625,1.0,0.0,0.0,0.0
20140702,1.0,0.0,0.0,0.0
20140707,1.0,0.0,0.0,0.0
20140714,1.0,0.0,0.0,0.0
20140715,1.0,0.0,0.0,0.0
20140716,2.0,0.0,0.0,0.0
20140717,2.0,0.0,0.0,0.0
20140718,2.0,0.0,0.0,0.0
20140721,1.0,1.0,0.0,0.0
20140722,1.0,0.0,1.0,0.0
20140723,2.0,0.0,0.0,0.0
20140728,2.0,0.0,0.0,0.0
20140730,2.0,0.0,0.0,1.0
20140801,2.0,0.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0
20140805,1.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0
20140807,1.0,0.0,0.0,0.0
20140813,2.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0
20140819,1.0,0.0,0.0,0.0
20140822,1.0,0.0,0.0,0.0
20140825,0.0,0.0,1.0,0.0
20140826,0.0,1.0,0.0,0.0
20140827,0.0,0.0,1.0,0.0
20140828,1.0,0.0,0.0,0.0
20140829,2.0,0.0,0.0,0.0
20140902,3.0,1.0,0.0,0.0
20140905,1.0,0.0,0.0,0.0
20140908,3.0,0.0,0.0,0.0
20140911,1.0,0.0,0.0,0.0
20140912,1.0,0.0,0.0,0.0
20140919,1.0,0.0,0.0,0.0
20140923,2.0,0.0,2.0,0.0
20140929,1.0,0.0,0.0,0.0
20141007,1.0,1.0,0.0,0.0
20141010,1.0,0.0,0.0,0.0
20141014,1.0,0.0,0.0,0.0
20141015,2.0,0.0,0.0,0.0
20141016,1.0,0.0,0.0,0.0
20141020,1.0,0.0,1.0,0.0
20141021,2.0,0.0,0.0,0.0
20141031,1.0,0.0,0.0,0.0
20141103,1.0,1.0,0.0,0.0
20141104,1.0,0.0,0.0,0.0
20141114,1.0,0.0,0.0,0.0
20141117,1.0,0.0,0.0,0.0
20141124,0.0,0.0,0.0,1.0
20141125,2.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0
20141201,1.0,0.0,0.0,0.0
20141203,0.0,0.0,1.0,0.0
20141204,0.0,0.0,1.0,0.0
20141205,2.0,1.0,0.0,0.0
20141211,1.0,1.0,0.0,0.0
20141212,1.0,0.0,0.0,0.0
20141216,1.0,0.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0
20141231,1.0,0.0,0.0,0.0
