date,Conflict,Disaster,Fund,Political,Water Insecurity
20130813,0.0,0.0,0.0,1.0,0.0
20130913,0.0,0.0,0.0,0.0,1.0
20131010,0.0,0.0,1.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0
20131107,1.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0
20131112,1.0,0.0,0.0,0.0,0.0
20131113,1.0,0.0,0.0,0.0,0.0
20131119,1.0,0.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0
20131129,0.0,0.0,0.0,0.0,1.0
20131203,0.0,0.0,1.0,0.0,0.0
20131204,0.0,1.0,0.0,0.0,0.0
20131231,0.0,1.0,0.0,0.0,0.0
20140620,1.0,0.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0
