date,Conflict,Disaster,Political/Social Unrest
20130624,0.0,1.0,0.0
20130628,0.0,1.0,0.0
20130702,1.0,0.0,0.0
20130715,2.0,0.0,0.0
20130718,0.0,0.0,1.0
20130920,1.0,0.0,0.0
20130923,1.0,0.0,0.0
20130927,1.0,0.0,0.0
20131014,0.0,1.0,0.0
20131016,1.0,0.0,0.0
20131018,1.0,0.0,0.0
20131031,1.0,0.0,0.0
20131205,1.0,0.0,0.0
20131230,1.0,0.0,0.0
20131231,1.0,0.0,0.0
20140516,1.0,0.0,0.0
20140717,0.0,1.0,0.0
20140806,1.0,0.0,0.0
20140908,0.0,1.0,0.0
20140911,1.0,0.0,0.0
20141201,1.0,0.0,0.0
20141211,2.0,0.0,0.0
20141217,1.0,0.0,0.0
20141230,1.0,1.0,0.0
20141231,1.0,0.0,0.0
