date,Conflict,Disaster,Disease
20130624,1.0,0.0,0.0
20130715,0.0,0.0,1.0
20130729,1.0,0.0,0.0
20130730,1.0,0.0,0.0
20130809,0.0,1.0,0.0
20130909,0.0,0.0,1.0
20130919,0.0,0.0,1.0
20131004,1.0,0.0,0.0
20131010,0.0,1.0,1.0
20131018,1.0,0.0,0.0
20131025,1.0,0.0,0.0
20131030,1.0,0.0,0.0
20131104,1.0,0.0,0.0
20131105,1.0,0.0,0.0
20131111,1.0,0.0,0.0
20131112,1.0,0.0,0.0
20131113,0.0,1.0,0.0
20131115,1.0,0.0,0.0
20131120,1.0,0.0,0.0
20131121,0.0,0.0,1.0
20131122,0.0,1.0,0.0
20131203,1.0,0.0,0.0
20140514,1.0,0.0,0.0
20140516,0.0,1.0,0.0
20140521,0.0,0.0,1.0
20140722,0.0,0.0,1.0
20140807,0.0,1.0,1.0
20140819,0.0,1.0,0.0
20140828,1.0,0.0,0.0
20141211,1.0,0.0,0.0
