date,Conflict,Disaster,Disease,Food Insecurity,Political,Water Insecurity
20130627,1.0,0.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,1.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0,0.0
20130716,0.0,0.0,0.0,0.0,1.0,0.0
20130717,1.0,0.0,0.0,0.0,0.0,0.0
20130718,1.0,0.0,0.0,0.0,0.0,0.0
20130725,1.0,0.0,0.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0
20130731,0.0,2.0,0.0,0.0,0.0,0.0
20130801,1.0,1.0,0.0,0.0,0.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0,0.0
20130814,1.0,0.0,0.0,0.0,0.0,0.0
20130815,0.0,1.0,0.0,0.0,0.0,0.0
20130909,0.0,0.0,0.0,1.0,0.0,0.0
20130912,0.0,0.0,0.0,0.0,1.0,0.0
20130919,0.0,1.0,0.0,0.0,0.0,0.0
20130926,0.0,0.0,0.0,1.0,0.0,0.0
20131030,0.0,0.0,0.0,1.0,0.0,0.0
20131031,0.0,1.0,0.0,0.0,0.0,0.0
20131115,0.0,1.0,0.0,0.0,0.0,0.0
20131120,0.0,0.0,1.0,0.0,0.0,0.0
20131203,0.0,0.0,1.0,0.0,0.0,0.0
20140911,0.0,0.0,0.0,0.0,0.0,1.0
20141014,1.0,0.0,0.0,0.0,0.0,0.0
20141114,1.0,0.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0,0.0
