date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political/Social Unrest
20130701,0.0,1.0,0.0,0.0,0.0,0.0
20130711,0.0,0.0,0.0,1.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0,0.0
20130716,0.0,0.0,0.0,0.0,1.0,0.0
20130724,1.0,0.0,0.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,0.0,0.0
20130731,1.0,0.0,0.0,0.0,0.0,0.0
20130813,0.0,1.0,0.0,0.0,0.0,0.0
20131018,1.0,0.0,0.0,0.0,0.0,0.0
20131119,0.0,0.0,0.0,0.0,0.0,1.0
20131120,1.0,0.0,0.0,0.0,0.0,0.0
20131122,1.0,0.0,0.0,0.0,0.0,0.0
20131205,1.0,0.0,0.0,0.0,0.0,0.0
20140516,0.0,1.0,0.0,0.0,0.0,0.0
20140521,0.0,1.0,0.0,0.0,1.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0,0.0
20140620,0.0,1.0,0.0,0.0,0.0,0.0
20140625,1.0,0.0,0.0,0.0,0.0,0.0
20140707,1.0,0.0,0.0,0.0,0.0,0.0
20140708,1.0,1.0,0.0,0.0,0.0,0.0
20140709,1.0,0.0,0.0,0.0,0.0,0.0
20140717,0.0,1.0,0.0,0.0,0.0,0.0
20140721,0.0,1.0,0.0,0.0,0.0,0.0
20140801,0.0,1.0,0.0,0.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0,0.0,0.0
20140814,0.0,1.0,0.0,0.0,0.0,0.0
20140919,0.0,1.0,0.0,0.0,0.0,0.0
20141007,0.0,0.0,1.0,0.0,0.0,0.0
20141114,1.0,0.0,0.0,0.0,0.0,0.0
20141125,0.0,0.0,0.0,0.0,1.0,0.0
20141231,0.0,1.0,0.0,0.0,0.0,0.0
